order_id,date,category,region,quantity,unit_price,customer_age,customer_rating,revenue
1123,2025-01-01,Clothing,East,2,435.7,26,3.7,871.4
1065,2025-01-02,Electronics,North,5,400.71,55,2.7,2003.55
1248,2025-01-02,Books,West,6,133.6,45,4.7,801.6
1019,2025-01-02,Electronics,East,3,107.18,25,3.7,321.54
1194,2025-01-02,Books,South,6,69.11,37,1.9,414.66
1168,2025-01-03,Books,North,5,258.78,35,3.4,1293.9
1220,2025-01-03,Sports,West,2,439.92,50,4.7,879.84
1069,2025-01-04,Electronics,West,9,183.68,42,1.0,1653.12
1104,2025-01-05,Electronics,East,9,415.31,39,2.0,3737.79
1124,2025-01-05,Home & Kitchen,North,3,15.53,56,1.7,46.59
1242,2025-01-07,Books,East,9,256.2,37,3.2,2305.8
1057,2025-01-08,Clothing,West,1,57.77,25,4.0,57.77
1049,2025-01-09,Clothing,North,5,20.44,65,3.6,102.2
1254,2025-01-09,Clothing,North,8,272.93,57,1.5,2183.44
1092,2025-01-09,Electronics,North,6,286.13,67,3.3,1716.78
1236,2025-01-11,Home & Kitchen,West,7,68.79,62,1.1,481.53
1185,2025-01-12,Clothing,East,8,408.84,47,4.6,3270.72
1109,2025-01-12,Electronics,South,4,43.09,43,1.4,172.36
1144,2025-01-13,Electronics,East,5,147.18,20,4.4,735.9
1074,2025-01-14,Electronics,South,7,225.77,28,2.6,1580.39
1048,2025-01-14,Sports,North,1,,55,1.4,111.4
1032,2025-01-15,Home & Kitchen,South,8,28.25,46,3.8,226.0
1129,2025-01-15,Electronics,West,4,498.98,29,2.0,1995.92
1004,2025-01-15,Home & Kitchen,East,4,132.65,20,2.8,530.6
1004,2025-01-15,Home & Kitchen,East,4,132.65,20,2.8,530.6
1077,2025-01-15,Clothing,West,6,437.11,41,2.5,2622.66
1087,2025-01-15,Electronics,South,8,472.31,37,2.9,3778.48
1044,2025-01-18,Electronics,West,8,240.64,61,1.9,1925.12
1287,2025-01-21,Sports,West,9,85.99,66,2.7,773.91
1007,2025-01-21,Home & Kitchen,West,1,492.28,32,3.0,492.28
1041,2025-01-21,Home & Kitchen,South,9,360.93,31,4.7,3248.37
1024,2025-01-21,Books,East,1,300.72,25,,300.72
1027,2025-01-22,Books,West,4,91.81,63,1.4,367.24
1299,2025-01-22,Books,South,3,212.77,26,2.8,638.31
1082,2025-01-24,Clothing,North,1,425.35,49,3.5,425.35
1210,2025-01-24,Home & Kitchen,North,7,42.68,59,,298.76
1127,2025-01-27,Home & Kitchen,North,4,469.84,58,1.4,1879.36
1165,2025-01-27,Sports,West,8,471.65,61,3.2,3773.2
1155,2025-01-28,Electronics,East,5,394.24,62,2.8,1971.2
1148,2025-01-28,Home & Kitchen,East,6,13.85,28,4.1,83.1
1154,2025-01-28,Electronics,West,1,475.23,42,3.5,475.23
1106,2025-01-28,Books,East,5,300.15,19,1.2,1500.75
1142,2025-01-29,Sports,South,5,59.68,39,3.4,298.4
1159,2025-01-30,Home & Kitchen,East,7,472.64,53,4.5,3308.48
1102,2025-02-02,Home & Kitchen,West,4,423.05,69,,1692.2
1285,2025-02-02,Home & Kitchen,North,5,215.96,29,3.2,1079.8
1111,2025-02-02,Books,West,2,173.24,67,2.0,346.48
1295,2025-02-02,Home & Kitchen,North,8,475.68,37,3.6,3805.44
1119,2025-02-04,Clothing,South,8,443.56,20,2.1,3548.48
1059,2025-02-04,Home & Kitchen,East,6,365.45,35,2.6,2192.7
1143,2025-02-05,Electronics,West,8,180.54,43,2.6,1444.32
1252,2025-02-06,Home & Kitchen,West,3,57.96,22,1.8,173.88
1115,2025-02-06,Clothing,East,6,272.05,61,3.2,1632.3
1022,2025-02-07,Sports,North,4,450.51,34,2.2,1802.04
1209,2025-02-07,Electronics,North,1,343.21,56,4.8,343.21
1186,2025-02-08,Sports,South,9,116.1,38,1.8,1044.9
1232,2025-02-08,Clothing,East,3,441.03,19,1.5,1323.09
1078,2025-02-09,Home & Kitchen,West,1,367.45,58,1.9,367.45
1085,2025-02-10,Clothing,North,2,114.5,39,4.5,229.0
1105,2025-02-10,Clothing,West,1,23.32,56,4.7,23.32
1131,2025-02-11,Electronics,South,6,384.76,25,2.9,2308.56
1240,2025-02-11,Clothing,East,8,409.89,56,1.4,3279.12
1157,2025-02-13,Home & Kitchen,East,4,211.7,36,1.7,846.8
1072,2025-02-13,Electronics,North,8,72.73,58,2.6,581.84
1151,2025-02-14,Books,South,9,195.24,40,2.7,1757.16
1088,2025-02-14,Sports,East,8,24.52,50,1.1,196.16
1288,2025-02-17,Books,West,2,398.43,66,2.2,796.86
1076,2025-02-17,Clothing,West,3,273.24,68,2.0,819.72
1250,2025-02-17,Sports,South,5,272.29,52,5.0,1361.45
1257,2025-02-17,Clothing,East,8,318.15,62,4.5,2545.2
